Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Transactions_Last_1H,Card_Type,Card_Age,Transaction_Distance,ATM_Location_Profile,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
ATM_TXN_000001,USER_8723,1265.4,ATM Withdrawal,2025-04-26 12:46:00,71717.81,ATM Kiosk,Bengaluru,ATM,0,0,7,7279.93,2,1,RuPay,255,16.68,Nearby Area,PIN,0.0825,1,0
ATM_TXN_000002,USER_7146,0.0,Balance Inquiry,2025-05-14 15:09:00,78509.76,ATM Kiosk,Hyderabad,ATM,0,0,7,9511.62,0,1,Mastercard,240,0.79,Usual Area,Card + PIN,0.1386,0,0
ATM_TXN_000003,USER_8022,16560.2,ATM Withdrawal,2025-02-21 22:53:00,35809.8,ATM Kiosk,Chennai,ATM,1,0,11,3768.57,6,7,Visa,225,131.56,Out of Area,Card + PIN,0.9473,0,1
ATM_TXN_000004,USER_6711,0.0,Balance Inquiry,2025-04-14 08:45:00,73444.03,ATM Kiosk,Chennai,ATM,0,0,4,6089.69,2,2,Mastercard,241,10.17,Nearby Area,Biometric,0.0763,0,0
ATM_TXN_000005,USER_7452,14786.94,ATM Withdrawal,2025-05-27 05:25:00,114000.38,ATM Kiosk,Hyderabad,ATM,1,0,16,1008.53,5,7,Visa,478,136.76,Out of Area,PIN,0.7592,0,1
ATM_TXN_000006,USER_7296,3470.93,ATM Withdrawal,2025-03-31 12:54:00,81651.84,ATM Kiosk,Mumbai,ATM,0,0,8,3968.04,0,1,RuPay,83,17.31,Nearby Area,PIN,0.0709,0,0
ATM_TXN_000007,USER_2614,4961.18,ATM Withdrawal,2025-04-23 17:18:00,60045.7,ATM Kiosk,Bengaluru,ATM,0,0,8,8323.91,0,3,Mastercard,251,7.78,Usual Area,PIN,0.1298,0,0
ATM_TXN_000008,USER_8043,2297.97,ATM Withdrawal,2025-03-26 13:28:00,68627.99,ATM Kiosk,Bengaluru,ATM,0,0,5,6643.88,1,1,Visa,40,17.25,Nearby Area,Biometric,0.1765,0,0
ATM_TXN_000009,USER_9775,3367.44,ATM Withdrawal,2025-02-20 08:07:00,91596.04,ATM Kiosk,Hyderabad,ATM,0,0,3,5417.51,0,2,Mastercard,172,12.1,Nearby Area,PIN,0.108,0,0
ATM_TXN_000010,USER_1404,17282.75,ATM Withdrawal,2025-04-06 01:09:00,124126.07,ATM Kiosk,Delhi,ATM,0,0,13,0.0,5,8,Mastercard,145,282.41,Out of Area,Card + PIN,0.9396,1,1
ATM_TXN_000011,USER_3524,7379.82,ATM Withdrawal,2025-05-30 10:04:00,149501.75,ATM Kiosk,Bengaluru,ATM,0,0,3,4405.06,0,3,RuPay,456,2.21,Usual Area,Biometric,0.2188,0,0
ATM_TXN_000012,USER_6229,0.42,Mini Statement,2025-05-18 20:41:00,144114.24,ATM Kiosk,Delhi,ATM,0,0,1,2868.06,2,3,Mastercard,84,9.11,Usual Area,PIN,0.1561,1,0
ATM_TXN_000013,USER_2633,19.89,Mini Statement,2025-04-25 00:08:00,141170.72,ATM Kiosk,Mumbai,ATM,1,0,10,248.1,7,8,Visa,254,177.68,Out of Area,OTP,0.8425,0,1
ATM_TXN_000014,USER_4712,7794.11,ATM Withdrawal,2025-02-22 18:36:00,57525.85,ATM Kiosk,Hyderabad,ATM,0,0,3,2870.91,1,3,RuPay,302,15.62,Nearby Area,PIN,0.2489,1,0
ATM_TXN_000015,USER_8478,9040.75,Cash Deposit,2025-02-21 23:09:00,157605.3,ATM Kiosk,Hyderabad,ATM,1,0,16,1959.12,7,3,Visa,441,70.52,Out of Area,PIN,0.7228,0,1
ATM_TXN_000016,USER_4745,5612.41,Cash Deposit,2025-06-20 16:34:00,54694.56,ATM Kiosk,Mumbai,ATM,0,0,4,3121.27,0,3,Mastercard,136,4.49,Usual Area,PIN,0.1875,0,0
ATM_TXN_000017,USER_3247,29.39,Mini Statement,2025-04-07 22:49:00,65195.96,ATM Kiosk,Chennai,ATM,0,0,6,2474.61,5,6,RuPay,307,62.0,Out of Area,Card + PIN,0.6609,0,1
ATM_TXN_000018,USER_5327,4700.33,ATM Withdrawal,2025-06-03 06:54:00,71201.94,ATM Kiosk,Delhi,ATM,0,0,7,4319.34,6,4,Mastercard,163,285.94,Out of Area,PIN,0.6992,0,1
ATM_TXN_000019,USER_9968,8603.57,Cash Deposit,2025-06-18 17:31:00,87956.7,ATM Kiosk,Mumbai,ATM,0,0,3,4652.7,1,0,RuPay,309,1.52,Usual Area,PIN,0.1438,0,0
ATM_TXN_000020,USER_6395,4587.19,ATM Withdrawal,2025-02-12 14:29:00,110567.98,ATM Kiosk,Chennai,ATM,0,0,6,3499.57,1,2,Mastercard,373,14.39,Nearby Area,PIN,0.1332,0,0
ATM_TXN_000021,USER_9540,0.0,Balance Inquiry,2025-01-27 11:57:00,94844.84,ATM Kiosk,Delhi,ATM,0,0,6,6999.61,2,1,Visa,269,2.84,Usual Area,Card + PIN,0.0576,0,0
ATM_TXN_000022,USER_1110,6406.72,ATM Withdrawal,2025-04-09 07:41:00,108272.89,ATM Kiosk,Hyderabad,ATM,0,0,8,7681.01,1,0,Mastercard,84,10.59,Nearby Area,Card + PIN,0.1053,0,0
ATM_TXN_000023,USER_8688,26.38,Mini Statement,2025-04-28 21:08:00,65185.41,ATM Kiosk,Chennai,ATM,0,0,7,6472.29,0,0,Visa,329,11.98,Nearby Area,Card + PIN,0.1087,0,0
ATM_TXN_000024,USER_1515,0.0,Balance Inquiry,2025-02-14 02:50:00,80063.23,ATM Kiosk,Chennai,ATM,0,1,16,3548.98,5,8,RuPay,390,90.6,Out of Area,PIN,0.9092,0,1
ATM_TXN_000025,USER_5129,12152.0,ATM Withdrawal,2025-06-26 02:31:00,60035.19,ATM Kiosk,Mumbai,ATM,1,0,6,0.0,2,4,Mastercard,37,220.22,Out of Area,Card + PIN,0.7215,0,1
ATM_TXN_000026,USER_7297,8152.54,ATM Withdrawal,2025-04-07 03:34:00,77051.74,ATM Kiosk,Chennai,ATM,0,0,11,1603.32,2,4,Visa,455,107.87,Out of Area,Card + PIN,0.7503,0,1
ATM_TXN_000027,USER_4157,1932.75,ATM Withdrawal,2025-02-27 10:36:00,83913.76,ATM Kiosk,Hyderabad,ATM,0,0,2,3790.91,0,1,Visa,408,10.59,Nearby Area,PIN,0.165,0,0
ATM_TXN_000028,USER_9288,4336.83,Cash Deposit,2025-01-24 15:53:00,37038.59,ATM Kiosk,Bengaluru,ATM,0,0,5,4675.08,1,3,RuPay,260,13.26,Nearby Area,PIN,0.0564,0,0
ATM_TXN_000029,USER_5515,3027.36,ATM Withdrawal,2025-06-04 07:42:00,72035.73,ATM Kiosk,Mumbai,ATM,0,0,1,7800.5,0,2,RuPay,436,14.89,Nearby Area,PIN,0.01,0,0
